Date,Time,Transaction Type,Status,Chain,Buy Amount,Buy Currency,Buy Currency Address,Buy Fiat Amount,Buy Fiat Currency,Sell Amount,Sell Currency,Sell Currency Address,Sell Fiat Amount,Sell Fiat Currency,Fee Amount,Fee Currency,Fee Fiat Amount,Fee Fiat Currency,Tx Hash,Link,Timestamp,Incoming Transfers JSON,Outgoing Transfers JSON
08/10/2022,23:33,send,Confirmed,ethereum,"","","","","","5.497923448478621
11949.747315957708","DAI
DAI","0x482579f93dc13e6b434e38b5a0447ca543d88a46
0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","5.4955928424425161525992014
11944.6817392021412422579272","USD
USD",,,,,0x7196fa4f83e01336546a2b9daf7d14f6382f0131436d2beda32a70023dfa2b10,https://etherscan.io/tx/0x7196fa4f83e01336546a2b9daf7d14f6382f0131436d2beda32a70023dfa2b10,2022-08-11T02:33:45.000Z,"[]","[{""asset"":{""fungible"":{""id"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""asset_code"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""Dai"",""symbol"":""DAI"",""decimals"":18,""implementations"":{""avalanche"":{""address"":""0xd586e7f844cea2f87f50152665bcbc2c279d8d70"",""decimals"":18},""polygon"":{""address"":""0x8f3cf7ad23cd3cadbd9735aff958023239c6a063"",""decimals"":18},""aurora"":{""address"":""0xe3520349f477a5f6eb06107066048508498a291b"",""decimals"":18},""binance-smart-chain"":{""address"":""0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3"",""decimals"":18},""fantom"":{""address"":""0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e"",""decimals"":18},""xdai"":{""address"":""0x44fa8e6f47987339850636f88629646662444217"",""decimals"":18},""solana"":{""address"":""EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o"",""decimals"":8},""ethereum"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""loopring"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""optimism"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""arbitrum"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18}},""type"":""stablecoin"",""icon_url"":""https://s3.amazonaws.com/token-icons/0x6b175474e89094c44da98b954eedeac495271d0f.png"",""price"":{""value"":0.999493728762222,""relative_change_24h"":-0.32761946560682603,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":5497923448478621000,""price"":0.9995760934,""recipient"":""0x482579f93dc13e6b434e38b5a0447ca543d88a46""},{""asset"":{""fungible"":{""id"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""asset_code"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""Dai"",""symbol"":""DAI"",""decimals"":18,""implementations"":{""aurora"":{""address"":""0xe3520349f477a5f6eb06107066048508498a291b"",""decimals"":18},""avalanche"":{""address"":""0xd586e7f844cea2f87f50152665bcbc2c279d8d70"",""decimals"":18},""arbitrum"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""fantom"":{""address"":""0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e"",""decimals"":18},""solana"":{""address"":""EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o"",""decimals"":8},""xdai"":{""address"":""0x44fa8e6f47987339850636f88629646662444217"",""decimals"":18},""polygon"":{""address"":""0x8f3cf7ad23cd3cadbd9735aff958023239c6a063"",""decimals"":18},""loopring"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""binance-smart-chain"":{""address"":""0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3"",""decimals"":18},""ethereum"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""optimism"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18}},""type"":""stablecoin"",""icon_url"":""https://s3.amazonaws.com/token-icons/0x6b175474e89094c44da98b954eedeac495271d0f.png"",""price"":{""value"":0.999493728762222,""relative_change_24h"":-0.32761946560682603,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":1.1949747315957708e+22,""price"":0.9995760934,""recipient"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]"
08/09/2022,15:55,send,Confirmed,ethereum,"","","","","","7.483340666660345
536.52458335","DAI
DAI","0x482579f93dc13e6b434e38b5a0447ca543d88a46
0x27419b485b9fc9bd2737312add4ae2075ff306e1","7.467273479261912706336024
535.37263244885288232","USD
USD",,,,,0xb9b647f581d6c9b6fd4fe5b086b9e8e94ea509adead08330d0c0b9a07c7460a3,https://etherscan.io/tx/0xb9b647f581d6c9b6fd4fe5b086b9e8e94ea509adead08330d0c0b9a07c7460a3,2022-08-09T18:55:19.000Z,"[]","[{""asset"":{""fungible"":{""id"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""asset_code"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""Dai"",""symbol"":""DAI"",""decimals"":18,""implementations"":{""binance-smart-chain"":{""address"":""0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3"",""decimals"":18},""solana"":{""address"":""EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o"",""decimals"":8},""fantom"":{""address"":""0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e"",""decimals"":18},""avalanche"":{""address"":""0xd586e7f844cea2f87f50152665bcbc2c279d8d70"",""decimals"":18},""aurora"":{""address"":""0xe3520349f477a5f6eb06107066048508498a291b"",""decimals"":18},""arbitrum"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""xdai"":{""address"":""0x44fa8e6f47987339850636f88629646662444217"",""decimals"":18},""polygon"":{""address"":""0x8f3cf7ad23cd3cadbd9735aff958023239c6a063"",""decimals"":18},""ethereum"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""optimism"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""loopring"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18}},""type"":""stablecoin"",""icon_url"":""https://s3.amazonaws.com/token-icons/0x6b175474e89094c44da98b954eedeac495271d0f.png"",""price"":{""value"":0.999493728762222,""relative_change_24h"":-0.32761946560682603,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":7483340666660345000,""price"":0.9978529392,""recipient"":""0x482579f93dc13e6b434e38b5a0447ca543d88a46""},{""asset"":{""fungible"":{""id"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""asset_code"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""Dai"",""symbol"":""DAI"",""decimals"":18,""implementations"":{""fantom"":{""address"":""0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e"",""decimals"":18},""optimism"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""ethereum"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""binance-smart-chain"":{""address"":""0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3"",""decimals"":18},""xdai"":{""address"":""0x44fa8e6f47987339850636f88629646662444217"",""decimals"":18},""arbitrum"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""solana"":{""address"":""EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o"",""decimals"":8},""polygon"":{""address"":""0x8f3cf7ad23cd3cadbd9735aff958023239c6a063"",""decimals"":18},""aurora"":{""address"":""0xe3520349f477a5f6eb06107066048508498a291b"",""decimals"":18},""loopring"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""avalanche"":{""address"":""0xd586e7f844cea2f87f50152665bcbc2c279d8d70"",""decimals"":18}},""type"":""stablecoin"",""icon_url"":""https://s3.amazonaws.com/token-icons/0x6b175474e89094c44da98b954eedeac495271d0f.png"",""price"":{""value"":0.999493728762222,""relative_change_24h"":-0.32761946560682603,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":536524583350000000000,""price"":0.9978529392,""recipient"":""0x27419b485b9fc9bd2737312add4ae2075ff306e1""}]"
08/07/2022,20:17,receive,Confirmed,ethereum,"12495.857351417898","DAI","0xc7dffdc95483bbf8b372bce78f1d9b2a7a1e8143","12463.359612625355149611462","USD","","","","","",,,,,0xcf5f1d1ec714c77a845232044a4d49fb11ca5b09a886722bb45fd7803d0b2b7a,https://etherscan.io/tx/0xcf5f1d1ec714c77a845232044a4d49fb11ca5b09a886722bb45fd7803d0b2b7a,2022-08-07T23:17:06.000Z,"[{""asset"":{""fungible"":{""id"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""asset_code"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""Dai"",""symbol"":""DAI"",""decimals"":18,""implementations"":{""solana"":{""address"":""EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o"",""decimals"":8},""loopring"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""polygon"":{""address"":""0x8f3cf7ad23cd3cadbd9735aff958023239c6a063"",""decimals"":18},""xdai"":{""address"":""0x44fa8e6f47987339850636f88629646662444217"",""decimals"":18},""arbitrum"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""binance-smart-chain"":{""address"":""0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3"",""decimals"":18},""aurora"":{""address"":""0xe3520349f477a5f6eb06107066048508498a291b"",""decimals"":18},""ethereum"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""fantom"":{""address"":""0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e"",""decimals"":18},""avalanche"":{""address"":""0xd586e7f844cea2f87f50152665bcbc2c279d8d70"",""decimals"":18},""optimism"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18}},""type"":""stablecoin"",""icon_url"":""https://s3.amazonaws.com/token-icons/0x6b175474e89094c44da98b954eedeac495271d0f.png"",""price"":{""value"":0.999493728762222,""relative_change_24h"":-0.32761946560682603,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":1.2495857351417898e+22,""price"":0.997399319,""sender"":""0xc7dffdc95483bbf8b372bce78f1d9b2a7a1e8143""}]","[]"
08/07/2022,20:01,send,Confirmed,ethereum,"","","","","","5","DAI","0x482579f93dc13e6b434e38b5a0447ca543d88a46","4.9979275535","USD",,,,,0xe1033e18caf1d8a521a93f53a170c4dc4d20f84488396e1425305ba5e0a19d2e,https://etherscan.io/tx/0xe1033e18caf1d8a521a93f53a170c4dc4d20f84488396e1425305ba5e0a19d2e,2022-08-07T23:01:29.000Z,"[]","[{""asset"":{""fungible"":{""id"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""asset_code"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""Dai"",""symbol"":""DAI"",""decimals"":18,""implementations"":{""arbitrum"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""polygon"":{""address"":""0x8f3cf7ad23cd3cadbd9735aff958023239c6a063"",""decimals"":18},""avalanche"":{""address"":""0xd586e7f844cea2f87f50152665bcbc2c279d8d70"",""decimals"":18},""aurora"":{""address"":""0xe3520349f477a5f6eb06107066048508498a291b"",""decimals"":18},""solana"":{""address"":""EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o"",""decimals"":8},""ethereum"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""fantom"":{""address"":""0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e"",""decimals"":18},""binance-smart-chain"":{""address"":""0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3"",""decimals"":18},""loopring"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""xdai"":{""address"":""0x44fa8e6f47987339850636f88629646662444217"",""decimals"":18},""optimism"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18}},""type"":""stablecoin"",""icon_url"":""https://s3.amazonaws.com/token-icons/0x6b175474e89094c44da98b954eedeac495271d0f.png"",""price"":{""value"":0.999493728762222,""relative_change_24h"":-0.32761946560682603,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":5000000000000000000,""price"":0.9995855107,""recipient"":""0x482579f93dc13e6b434e38b5a0447ca543d88a46""}]"
08/07/2022,19:59,receive,Confirmed,ethereum,"15","DAI","0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91","14.9948375145","USD","","","","","",,,,,0x4047d6881151a293cf54a00a373861226a8a53693c98d27ed93feff4777f5dd8,https://etherscan.io/tx/0x4047d6881151a293cf54a00a373861226a8a53693c98d27ed93feff4777f5dd8,2022-08-07T22:59:17.000Z,"[{""asset"":{""fungible"":{""id"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""asset_code"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""Dai"",""symbol"":""DAI"",""decimals"":18,""implementations"":{""polygon"":{""address"":""0x8f3cf7ad23cd3cadbd9735aff958023239c6a063"",""decimals"":18},""loopring"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""binance-smart-chain"":{""address"":""0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3"",""decimals"":18},""aurora"":{""address"":""0xe3520349f477a5f6eb06107066048508498a291b"",""decimals"":18},""ethereum"":{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""decimals"":18},""optimism"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18},""solana"":{""address"":""EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o"",""decimals"":8},""xdai"":{""address"":""0x44fa8e6f47987339850636f88629646662444217"",""decimals"":18},""fantom"":{""address"":""0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e"",""decimals"":18},""avalanche"":{""address"":""0xd586e7f844cea2f87f50152665bcbc2c279d8d70"",""decimals"":18},""arbitrum"":{""address"":""0xda10009cbd5d07dd0cecc66161fc93d7c9000da1"",""decimals"":18}},""type"":""stablecoin"",""icon_url"":""https://s3.amazonaws.com/token-icons/0x6b175474e89094c44da98b954eedeac495271d0f.png"",""price"":{""value"":0.999493728762222,""relative_change_24h"":-0.32761946560682603,""changed_at"":0},""is_displayable"":true,""is_verified"":true}},""quantity"":15000000000000000000,""price"":0.9996558343,""sender"":""0xddfc2e10702d8a781727a34d83b3bb3ca94a3e91""}]","[]"